,job,company,location,salary,description
13030,Senior Data Scientist,    NIT Finance,"New York, NY",,
13031,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13032,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13033,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13034,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13035,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13036,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13037,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13038,Data Scientist,    xometry,"Durham, NC",,
13039,Data Scientist,        Novetta,"Crystal City, VA",,
13040,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13041,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13042,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13043,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13044,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13045,Senior Data Scientist,    NIT Finance,"New York, NY",,
13046,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13047,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13048,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13049,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13050,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13051,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13052,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13053,Data Scientist,    xometry,"Durham, NC",,
13054,Data Scientist,        Novetta,"Crystal City, VA",,
13055,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13056,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13057,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13058,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13059,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13060,Senior Data Scientist,    NIT Finance,"New York, NY",,
13061,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13062,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13063,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13064,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13065,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13066,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13067,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13068,Data Scientist,    xometry,"Durham, NC",,
13069,Data Scientist,        Novetta,"Crystal City, VA",,
13070,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13071,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13072,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13073,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13074,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13075,Senior Data Scientist,    NIT Finance,"New York, NY",,
13076,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13077,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13078,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13079,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13080,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13081,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13082,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13083,Data Scientist,    xometry,"Durham, NC",,
13084,Data Scientist,        Novetta,"Crystal City, VA",,
13085,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13086,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13087,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13088,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13089,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13090,Senior Data Scientist,    NIT Finance,"New York, NY",,
13091,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13092,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13093,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13094,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13095,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13096,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13097,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13098,Data Scientist,    xometry,"Durham, NC",,
13099,Data Scientist,        Novetta,"Crystal City, VA",,
13100,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13101,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13102,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13103,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13104,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13105,Senior Data Scientist,    NIT Finance,"New York, NY",,
13106,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13107,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13108,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13109,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13110,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13111,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13112,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13113,Data Scientist,    xometry,"Durham, NC",,
13114,Data Scientist,        Novetta,"Crystal City, VA",,
13115,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13116,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13117,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13118,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13119,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13120,Senior Data Scientist,    NIT Finance,"New York, NY",,
13121,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13122,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13123,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13124,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13125,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13126,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13127,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13128,Data Scientist,    xometry,"Durham, NC",,
13129,Data Scientist,        Novetta,"Crystal City, VA",,
13130,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13131,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13132,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13133,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13134,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13135,Senior Data Scientist,    NIT Finance,"New York, NY",,
13136,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13137,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13138,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13139,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13140,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13141,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13142,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13143,Data Scientist,    xometry,"Durham, NC",,
13144,Data Scientist,        Novetta,"Crystal City, VA",,
13145,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13146,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13147,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13148,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13149,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13150,Senior Data Scientist,    NIT Finance,"New York, NY",,
13151,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13152,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13153,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13154,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13155,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13156,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13157,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13158,Data Scientist,    xometry,"Durham, NC",,
13159,Data Scientist,        Novetta,"Crystal City, VA",,
13160,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13161,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13162,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13163,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13164,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13165,Senior Data Scientist,    NIT Finance,"New York, NY",,
13166,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13167,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13168,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13169,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13170,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13171,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13172,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13173,Data Scientist,    xometry,"Durham, NC",,
13174,Data Scientist,        Novetta,"Crystal City, VA",,
13175,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13176,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13177,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13178,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13179,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13180,Senior Data Scientist,    NIT Finance,"New York, NY",,
13181,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13182,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13183,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13184,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13185,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13186,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13187,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13188,Data Scientist,    xometry,"Durham, NC",,
13189,Data Scientist,        Novetta,"Crystal City, VA",,
13190,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13191,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13192,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13193,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13194,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13195,Senior Data Scientist,    NIT Finance,"New York, NY",,
13196,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13197,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13198,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13199,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13200,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13201,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13202,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13203,Data Scientist,    xometry,"Durham, NC",,
13204,Data Scientist,        Novetta,"Crystal City, VA",,
13205,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13206,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13207,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13208,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13209,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13210,Senior Data Scientist,    NIT Finance,"New York, NY",,
13211,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13212,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13213,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13214,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13215,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13216,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13217,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13218,Data Scientist,    xometry,"Durham, NC",,
13219,Data Scientist,        Novetta,"Crystal City, VA",,
13220,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13221,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13222,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13223,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13224,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13225,Senior Data Scientist,    NIT Finance,"New York, NY",,
13226,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13227,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13228,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13229,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13230,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
